id,aleacion,composicion,categoria,fabricacion,fase,densidad,dureza,modulo_young,limite_elastico,esfuerzo_ultimo,deformacion
507,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h + estudio 800°C,BCC,8.7,NA,NA,825,NA,50
508,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h + estudio 1000°C,BCC,8.7,NA,NA,635,NA,50
509,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h + estudio 1200°C,BCC,8.7,NA,NA,187,NA,50
510,HfNbSi0.5TiV,"Hf22,2-Nb22,2-Ti22,2-V22,2-Si11,2",Refractario,Levitación en crisol frío fusión en atmósfera de argón,BCC+IM,8.6,490,NA,1399,NA,10.9
511,HfNbSi0.5TiV,"Hf22,2-Nb22,2-Ti22,2-V22,2-Si11,3",Refractario,Levitación en crisol frío fusión en atmósfera de argón + Ensayo a 800 °C,BCC+IM,8.6,NA,NA,875,NA,50
512,HfNbSi0.5TiV,"Hf22,2-Nb22,2-Ti22,2-V22,2-Si11,4",Refractario,Levitación en crisol frío fusión en atmósfera de argón + Ensayo a 1000 °C,BCC+IM,8.6,NA,NA,240,NA,50
513,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco,BCC,11.1,362,109,1200,1920,34
514,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 6 h,BCC,11.1,490,NA,1500,2050,7
515,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 1 dia,BCC,11.1,570,NA,2290,2290,6
516,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 4 dia,BCC,11.1,550,NA,1920,2150,6.3
517,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 8 dia,BCC,11.1,535,NA,2100,2080,11
518,Hf0.5Nb0.5Ta0.5Ti1.5Zr,Hf0.5-Nb0.5-Ta0.5-Ti1.5-Zr,Refractario,Fusion por arco,BCC,8.1,301,107,903,990,19
519,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio,BCC,9.9,390,111,929,NA,50
520,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 600°C,BCC,9.9,NA,NA,675,NA,50
521,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 800°C,BCC,9.9,NA,NA,535,NA,50
522,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 1000°C,BCC,9.9,NA,NA,295,NA,50
523,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 1200°C,BCC,9.9,NA,NA,92,NA,50
524,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 1400°C,BCC,9.9,NA,NA,790,NA,50
525,HfNbTiZr,Hf-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1573 K por 6 h,BCC,8.4,NA,92,879,969,15
526,MoNbTaV,Mo-Nb-Ta-V,Refractario,Fusion por arco,BCC,10.7,504,187,1525,2400,21
527,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio,BCC,12.4,536,232,1246,1270,1.7
528,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 600 °C,BCC,12.4,NA,NA,862,NA,13
529,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 800 °C,BCC,12.4,NA,NA,846,NA,17
530,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1000 °C,BCC,12.4,NA,NA,842,NA,19
531,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1200 °C,BCC,12.4,NA,NA,735,NA,7.5
532,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1400 °C,BCC,12.4,NA,NA,656,NA,40
533,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1600 °C,BCC,12.4,NA,NA,477,NA,40
534,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio,BCC,13.8,454,258,1058,1211,2.6
535,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 600 °C,BCC,13.8,NA,NA,561,NA,40
536,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 800 °C,BCC,13.8,NA,NA,552,NA,40
537,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1000 °C,BCC,13.8,NA,NA,548,NA,40
538,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1200 °C,BCC,13.8,NA,NA,506,NA,40
539,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1400 °C,BCC,13.8,NA,NA,421,NA,40
540,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1600 °C,BCC,13.8,NA,NA,405,NA,40
541,MoNbTiV0.25Zr,Mo-Nb-Ti-V0.25-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,7.3,NA,153,1776,3893,30
542,MoNbTiV0.50Zr,Mo-Nb-Ti-V0.50-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,7.2,NA,152,1647,3307,28
543,MoNbTiV0.75Zr,Mo-Nb-Ti-V0.75-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,7.2,NA,150,1708,3929,29
544,MoNbTiV1.0Zr,Mo-Nb-Ti-V1.0-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,7.1,NA,149,1786,3828,26
